,Unnamed: 0,Title,Square,Price,Room,Floor,Building floor,Renovation,Material,Address,Lift,Bathroom,Washing machine,TV,Microwave oven,Playground,Furniture,Refrigerator,Air conditioner,Wifi,Cable,Security,Video surveillance,Parking space
0,0,2-комнатная квартира на продажу,60.08 м²,61 000 у.е.,2,2,9,Требует ремонта,Панельный,"город Ташкент, Яшнободский район, махаллинский сход граждан Истиклол",1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4-комнатная квартира на продажу,95 м²,80 000 у.е.,4,5,9,Евроремонт,Панельный,"город Ташкент, Сергелийский район, махаллинский сход граждан Эзгулик",1,1,0,0,0,1,1,0,1,1,1,0,0,1
2,2,1-комнатная квартира на продажу,37.9 м²,55 000 у.е.,1,8,9,Евроремонт,Другое,"город Ташкент, Яшнободский район, жилой комплекс Assalom! Sohil, Фергана Йули",1,0,0,0,0,1,1,1,0,1,1,1,1,1
3,3,1-комнатная квартира на продажу,37 м²,66 000 у.е.,1,2,5,Евроремонт,Кирпичный,"город Ташкент, Чиланзарский район, квартал Е, улица Мукими",0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4-комнатная квартира на продажу,127 м²,206 000 у.е.,4,2,5,Средний,Кирпичный,"город Ташкент, Яшнободский район, махаллинский сход граждан Туйтепа, 1-й проезд Садыка Азимова",0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,2-комнатная квартира на продажу,60 м²,82 000 у.е.,2,4,5,Евроремонт,Кирпичный,"город Ташкент, Шайхантахурский район, массив Актепа",0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,5-комнатная квартира на продажу,115 м²,105 000 у.е.,5,5,5,Авторский проект,Другое,"город Ташкент, Мирзо-Улугбекский район, массив Ахмада Югнаки",0,1,1,0,1,1,1,1,1,1,0,0,0,1
7,7,3-комнатная квартира на продажу,68 м²,69 000 у.е.,3,2,4,Средний,Панельный,"город Ташкент, Юнусабадский район, махаллинский сход граждан Ахмад Дониш",0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,3-комнатная квартира на продажу,74 м²,128 000 у.е.,3,3,9,Евроремонт,Панельный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Шахрисабз, улица Шахрисабз",1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,5-комнатная квартира на продажу,115 м²,140 000 у.е.,5,6,9,Средний,Панельный,"город Ташкент, Яккасарайский район, махаллинский сход граждан Шахжахан, улица Шох-Жахон",1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,1-комнатная квартира на продажу,27 м²,55 000 у.е.,1,1,4,Евроремонт,Кирпичный,"город Ташкент, Чиланзарский район, 1-й квартал, улица Лабихавуз",0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,1-комнатная квартира на продажу,42 м²,42 000 у.е.,1,9,12,Черновая отделка,Блочный,"город Ташкент, Яшнободский район, махаллинский сход граждан Олмос, 1-й тупик Бахт Кули",1,0,0,0,0,1,0,0,0,0,0,1,1,0
12,12,4-комнатная квартира на продажу,3 м²,113 000 у.е.,4,6,9,Евроремонт,Панельный,"город Ташкент, Шайхантахурский район, массив Хадра",1,1,1,1,1,1,1,1,1,1,1,0,1,1
13,13,2-комнатная квартира на продажу,45 м²,74 000 у.е.,2,3,4,Евроремонт,Панельный,"город Ташкент, Чиланзарский район, 2-й квартал",0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,2-комнатная квартира на продажу,73 м²,81 000 у.е.,2,4,8,Евроремонт,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Гульсанам",1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,1-комнатная квартира на продажу,42 м²,48 500 у.е.,1,3,4,Средний,Блочный,"город Ташкент, Юнусабадский район, махаллинский сход граждан Акбарабад",0,0,0,0,0,1,0,0,0,1,1,0,1,0
16,16,4-комнатная квартира на продажу,85 м²,39 900 у.е.,4,1,1,Авторский проект,Кирпичный,"Ташкентская область, Нурафшан",0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,1-комнатная квартира на продажу,27 м²,39 300 у.е.,1,1,3,Евроремонт,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Навнихол, улица Музрабад",0,0,1,1,1,0,1,1,0,1,0,0,0,0
18,18,3-комнатная квартира на продажу,65 м²,68 000 у.е.,3,8,9,Средний,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Азамат",1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,1-комнатная квартира на продажу,28 м²,49 000 у.е.,1,3,5,Евроремонт,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Богимайдан",0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,3-комнатная квартира на продажу,78 м²,80 500 у.е.,3,3,5,Авторский проект,Панельный,"город Ташкент, Юнусабадский район, махаллинский сход граждан Юнус Ата",0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,2-комнатная квартира на продажу,50 м²,83 000 у.е.,2,3,4,Евроремонт,Кирпичный,"город Ташкент, Юнусабадский район, массив Минор",0,0,1,1,0,0,1,1,1,0,0,0,0,0
22,22,3-комнатная квартира на продажу,68 м²,62 000 у.е.,3,2,5,Требует ремонта,Кирпичный,"город Ташкент, Мирабадский район, махаллинский сход граждан Карасу, улица Абдурауфа Фитрата",0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23,3-комнатная квартира на продажу,67 м²,68 000 у.е.,3,4,4,Средний,Панельный,"город Ташкент, Учтепинский район, махаллинский сход граждан Кухна-Чапаната",0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,3-комнатная квартира на продажу,70 м²,86 000 у.е.,3,2,5,Средний,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, массив Буз-2, улица Узумзор",0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,2-комнатная квартира на продажу,45 м²,79 900 у.е.,2,2,4,Евроремонт,Панельный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Дилабад",0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,1-комнатная квартира на продажу,30 м²,41 500 у.е.,1,1,4,Авторский проект,Панельный,"город Ташкент, Учтепинский район, 22-й квартал",0,0,0,0,0,1,0,0,0,0,0,0,0,0
27,27,4-комнатная квартира на продажу,93.08 м²,104 000 у.е.,4,2,9,Средний,Панельный,"город Ташкент, Юнусабадский район, махаллинский сход граждан Халкабог",1,0,1,1,0,1,1,1,1,1,0,1,1,0
28,28,1-комнатная квартира на продажу,28 м²,33 000 у.е.,1,3,4,Евроремонт,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Шалола, 2-й проезд Хирот",0,0,0,0,0,1,1,1,0,1,0,0,0,1
29,29,2-комнатная квартира на продажу,83 м²,165 000 у.е.,2,3,10,Евроремонт,Другое,"город Ташкент, Юнусабадский район, махаллинский сход граждан Буюк Туран, проспект Амира Темура",1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,2-комнатная квартира на продажу,65 м²,173 000 у.е.,2,6,12,Черновая отделка,Другое,"город Ташкент, Яшнободский район, махаллинский сход граждан Туйтепа, улица Садыка Азимова",1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,1-комнатная квартира на продажу,29 м²,37 000 у.е.,1,9,16,Черновая отделка,Блочный,"город Ташкент, Мирзо-Улугбекский район, Assalom Bog'lar TJM",1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,32,1-комнатная квартира на продажу,25 м²,28 500 у.е.,1,1,3,Авторский проект,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, 4-й квартал",0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,33,1-комнатная квартира на продажу,54 м²,39 000 у.е.,1,12,12,Требует ремонта,Монолитный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Бек-Тупи, улица Сугалли-ота",1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,34,2-комнатная квартира на продажу,41 м²,67 000 у.е.,2,3,4,Авторский проект,Панельный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Катта Чиланзар-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,35,1-комнатная квартира на продажу,56 м²,52 000 у.е.,1,7,10,Черновая отделка,Кирпичный,"город Ташкент, Сергелийский район, массив Сергели-VIа",1,0,0,0,0,1,0,0,0,0,0,0,0,1
36,36,2-комнатная квартира на продажу,50 м²,59 000 у.е.,2,4,4,Средний,Панельный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Нафосат",0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,37,1-комнатная квартира на продажу,19 м²,27 500 у.е.,1,5,5,Евроремонт,Кирпичный,"город Ташкент, Яккасарайский район, махаллинский сход граждан Дилбулак, улица Кушбеги",0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,38,3-комнатная квартира на продажу,78 м²,89 500 у.е.,3,1,4,Евроремонт,Другое,"город Ташкент, Алмазарский район, массив Олимпия",0,1,1,1,1,1,1,1,1,1,1,0,0,1
39,39,2-комнатная квартира на продажу,76 м²,89 000 у.е.,2,9,9,Средний,Блочный,"город Ташкент, Юнусабадский район, махаллинский сход граждан Кашгар, улица Буюк Турон",1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,40,1-комнатная квартира на продажу,52 м²,58 000 у.е.,1,9,9,Требует ремонта,Монолитный,"город Ташкент, Мирабадский район, махаллинский сход граждан Мирабад, улица Нукус",1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,41,2-комнатная квартира на продажу,60 м²,62 000 у.е.,2,5,9,Евроремонт,Монолитный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Кизил-Шарк",1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,42,5-комнатная квартира на продажу,180 м²,218 000 у.е.,5,2,5,Требует ремонта,Кирпичный,"город Ташкент, Шайхантахурский район, массив Бешагач",0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,43,3-комнатная квартира на продажу,74 м²,80 500 у.е.,3,4,5,Средний,Кирпичный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Лутфий, улица Лутфий",0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,44,3-комнатная квартира на продажу,113 м²,130 000 у.е.,3,4,4,Средний,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Сайрам, улица Сайрам",0,1,1,1,0,0,1,1,0,0,0,0,0,0
45,45,1-комнатная квартира на продажу,42 м²,52 000 у.е.,1,1,4,Авторский проект,Кирпичный,"город Ташкент, Яшнободский район, махаллинский сход граждан Куксарой, 1-й проезд Алимкент",0,0,0,0,0,0,1,0,0,1,0,1,1,1
46,46,1-комнатная квартира на продажу,30 м²,48 800 у.е.,1,2,4,Евроремонт,Панельный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Ак-Тепа",0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,47,1-комнатная квартира на продажу,38 м²,49 350 у.е.,1,3,4,Евроремонт,Панельный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Яккатут",0,1,1,1,0,1,1,1,1,1,1,0,0,1
48,48,4-комнатная квартира на продажу,72 м²,76 000 у.е.,4,4,4,Средний,Кирпичный,"город Ташкент, Яшнободский район, квартал Авиасозлар, 4-й проезд Авиасозлар",0,1,0,0,0,1,0,0,0,1,1,0,0,1
49,49,3-комнатная квартира на продажу,73 м²,75 000 у.е.,3,1,9,Евроремонт,Монолитный,"город Ташкент, Учтепинский район, махаллинский сход граждан Ватан",1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,50,3-комнатная квартира на продажу,82 м²,115 000 у.е.,3,4,4,Евроремонт,Кирпичный,"город Ташкент, Мирабадский район, махаллинский сход граждан Мингурик, улица Тараса Шевченко",1,0,1,1,1,1,1,1,1,1,1,0,0,1
51,51,2-комнатная квартира на продажу,55 м²,83 999 у.е.,2,6,9,Евроремонт,Кирпичный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Бешчинар",1,1,1,1,0,1,1,1,1,1,1,1,0,1
52,52,4-комнатная квартира на продажу,87 м²,85 000 у.е.,4,3,4,Средний,Кирпичный,"город Ташкент, Алмазарский район, махаллинский сход граждан Шодиёна",0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,53,2-комнатная квартира на продажу,60 м²,67 800 у.е.,2,2,9,Евроремонт,Монолитный,"город Ташкент, Юнусабадский район, 12-й квартал, 7-й проезд Кулолкургон",1,0,0,0,0,0,0,0,0,0,0,0,0,0
54,54,3-комнатная квартира на продажу,63 м²,80 000 у.е.,3,2,5,Средний,Панельный,"город Ташкент, Чиланзарский район, квартал Ц, улица Мехр",0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,55,3-комнатная квартира на продажу,82 м²,81 000 у.е.,3,2,8,Черновая отделка,Кирпичный,"город Ташкент, Яшнободский район, махаллинский сход граждан Семург, улица Паркент",1,0,0,0,0,0,0,0,0,0,0,0,0,0
56,56,1-комнатная квартира на продажу,34 м²,68 500 у.е.,1,3,8,Евроремонт,Кирпичный,"город Ташкент, Яккасарайский район, махаллинский сход граждан Дилбулак, улица Шота Руставели",1,0,0,0,0,0,0,0,0,0,0,0,0,0
57,57,2-комнатная квартира на продажу,50 м²,69 555 у.е.,2,3,4,Евроремонт,Панельный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Кичик Хирмантепа",0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,58,3-комнатная квартира на продажу,80 м²,310 000 у.е.,3,4,11,Евроремонт,Блочный,"город Ташкент, Мирабадский район, жилой комплекс Mirabad Avenue, 2-й проезд Катта Миробод",1,0,0,0,0,0,0,0,0,0,0,0,0,0
59,59,2-комнатная квартира на продажу,45 м²,60 000 у.е.,2,3,4,Требует ремонта,Панельный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Катта Чиланзар-2, улица Арнасай",0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,60,5-комнатная квартира на продажу,228 м²,230 000 у.е.,5,9,10,Черновая отделка,Кирпичный,"город Ташкент, Юнусабадский район, махаллинский сход граждан Минор",1,0,0,0,0,0,0,0,0,0,0,0,0,0
61,61,2-комнатная квартира на продажу,45 м²,85 000 у.е.,2,6,9,Евроремонт,Кирпичный,"город Ташкент, Яккасарайский район, махаллинский сход граждан Богсарай, улица Мирабад",1,0,0,0,0,0,0,0,0,0,0,0,0,0
62,62,2-комнатная квартира на продажу,53 м²,56 000 у.е.,2,3,4,Средний,Панельный,"город Ташкент, Учтепинский район, махаллинский сход граждан Багабад",0,1,0,0,0,1,1,0,0,1,1,0,0,1
63,63,3-комнатная квартира на продажу,109 м²,215 000 у.е.,3,7,10,Евроремонт,Кирпичный,"город Ташкент, Яккасарайский район, жилой комплекс Милано",1,0,0,0,0,0,0,0,0,0,0,0,0,0
64,64,4-комнатная квартира на продажу,140 м²,270 000 у.е.,4,6,10,Евроремонт,Кирпичный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Чиланзар, улица Мукими",1,0,0,0,0,0,0,0,0,0,0,0,0,0
65,65,4-комнатная квартира на продажу,99 м²,220 000 у.е.,4,4,11,Евроремонт,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Аккурган, улица Урицкого",1,0,0,0,0,0,0,0,0,0,0,0,0,0
66,66,4-комнатная квартира на продажу,173 м²,480 000 у.е.,4,4,8,Евроремонт,Кирпичный,"город Ташкент, Мирабадский район, махаллинский сход граждан Лолазар, улица Айбека",1,0,0,0,0,0,0,0,0,0,0,0,0,0
67,67,2-комнатная квартира на продажу,65 м²,108 000 у.е.,2,4,4,Евроремонт,Кирпичный,"город Ташкент, Яккасарайский район, махаллинский сход граждан Юнус Раджаби, улица Богсарой",0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,68,2-комнатная квартира на продажу,51 м²,81 000 у.е.,2,3,9,Евроремонт,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, массив Буз-1, проезд Каландар",1,0,0,0,0,0,0,0,0,0,0,0,0,0
69,69,2-комнатная квартира на продажу,65 м²,105 000 у.е.,2,3,9,Евроремонт,Панельный,"город Ташкент, Мирабадский район, махаллинский сход граждан Афрасиаб, улица Шахрисабз",1,0,0,0,0,0,0,0,0,0,0,0,0,0
70,70,2-комнатная квартира на продажу,57 м²,82 000 у.е.,2,3,4,Средний,Другое,"город Ташкент, Юнусабадский район, махаллинский сход граждан Богиэрам",0,1,0,0,0,0,0,0,0,0,0,0,0,0
71,71,5-комнатная квартира на продажу,112 м²,105 000 у.е.,5,3,5,Средний,Панельный,"город Ташкент, Юнусабадский район, махаллинский сход граждан Бегубор",0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,72,2-комнатная квартира на продажу,76 м²,89 000 у.е.,2,9,9,Средний,Блочный,"город Ташкент, Мирабадский район, махаллинский сход граждан Шараф Рашидов, улица Чимкент",1,0,0,0,0,0,0,0,0,0,0,0,0,0
